"Ceremony","Award_Name"
"Boulder International Film Festival","Career Achievement Award"
"Banff Television Festival","Sir Peter Ustinov Award"
"Goldie Film Awards","Grand Goldie Film Award"
"Ariel Awards, Mexico","Salvador Toscano Medal"
"Fantastic Cinema Festival","Grand Jury Award"
"PollyGrind Underground Film Festival of Las Vegas","Biggest Baddest Mother of the PollyGrind (Grand Jury Prize)"
"Bearfest - Big Bear Lake International Film Festival","Founders Award"
"Mount Shasta International Film Festival","Audience Award"
"Raetihi Film Festival","Audience Award"
"Champs-Élysées Film Festival","Audience Award"
"Fribourg International Film Festival","Talent Tape Award"
"Miami Film Festival","Inspiration Award"
"Miami Film Festival","Jordan Alexander Ressler Screenwriting Award"
"Miami Film Festival","International Film Guide Inspiration Award"
"ShockerFest","Science Fiction Genre Award - Honorable Mention"
"ShockerFest","'B Movie' Award"
"Rhode Island International Horror Film Festival","Best Genre Cross Over"
"TerrorCon Film Festival","Terror Con Award"
"The Shawna Shea Film Festival","Festival Award"
"Boston Underground Film Festival","Jury Award"
"Dallas OUT TAKES","Best Actor"
"Crimson Screen Horror Film Fest","Crimmy"
"The Toscars","Toscar"
"Palm Springs International ShortFest","Best Live Action Short over 15 minutes"
"Nantes Three Continents Festival","ARTE Award"
"Independent Filmmakers Showcase IFS Film Festival, US","Vanguard Award"
"Encounters International Film Festival","International Jury Award"
"Jogja-NETPAC Asian Film Festival","Geber Award"
"Bahamas International Film Festival","Honorable Mention"
"Bahamas International Film Festival","Audience Award"
"Barcelona Docupolis","Best First Documentary"
"Madrid International Documentary Film Festival","Mention"
"WIFT-AT Women Making Waves Awards","WAVE Award"
"CPH:DOX","Amnesty Award - Honorable Mention"
"Hermosa Beach Film Festival","Best Comedy"
"WorldFest Houston","Vision Award"
"Moondance International Film Festival","Atlantis Award"
"Hamptons International Film Festival","RoC Skincare Gold Standard in Filmmaking Award"
"Catalina Film Festival","Charlie Chaplin Icon Award"
"CineVegas International Film Festival","Half-Life Award"
"Montréal World Film Festival","Career Exellence Award"
"Oldenburg Film Festival","Star of Excellence"
"Sitges - Catalonian International Film Festival","Best Actor"
"Action on Film International Film Festival, USA","Xristos Award"
"Fright Night Film Festival, US","Festival Award"
"Sitges - Catalonian International Film Festival","Noves Visions Emergents Award"
"Louisville Film & Video Festival","Juror's Award"
"Little Rock Picture Show","Little Rock Picture Show Award"
"San Antonio Horrific Film Festival","Horrific Film Fest Trophy"
"Annecy International Animated Film Festival","Award for Best TV Special"
"TIFF Kids International Film Festival","Adult Jury Award"
"Toronto Worldwide Short Film Festival","Audience Award"
"B-Movie Film Festival","Golden Cob Award"
"Crested Butte Reel Fest","Gold Poetic Justice Award"
"Crested Butte Reel Fest","Audience Award"
"Honolulu International Festival (II)","Aloha Accolade"
"IBAFF International Film Festival","Abbas Kiarostami Film Seminar Award"
"Venice Film Festival","AIACE Award"
"New York Film Critics Circle Awards","Special Citation"
"Beverly Hills Film Festival","Best Screenplay"
"Sofia International Film Festival","UNESCO Award for Best Documentary"
"Alcalá de Henares Short Film Festival","Canal+ Award"
"San Francisco International Film Festival","SKYY Prize - Honorable Mention"
"Skip City International D-Cinema Festival","Best Screenplay"
"Tallinn Black Nights Film Festival","Estonian Film Award - Special Mention"
"Tribeca Film Festival","Nora Ephron Prize - Special Mention"
"Warsaw International Film Festival","Special Jury Award - Warsaw Competition"
"Warsaw International Film Festival","FIPRESCI Prize"
"Irvine International Film Festival","Best Film"
"Fantasporto","Special Award"
"São Paulo Association of Art Critics Awards","Special Award"
"Amiens International Film Festival","SIGNIS Award - Special Mention"
"Málaga International Week of Fantastic Cinema","Best Special Effects"
"Bare Bones International Film & Music Festival","Director's Choice Award"
"Nosotros Golden Eagle Awards","Lifetime Achievement Award"
"Accolade Competition","Award Of Recognition"
"Best Shorts Competition","Award of Recognition"
"Indie Fest USA International Film Festival","Award of Recognition"
"International Independent Film Awards","Bronze Award"
"Canadian Cinema Editors Awards","Canadian Cinema Editors Award"
"Nocturna Madrid International Fantastic Film Festival","Madness Award Best Film"
"Shockfest Film Festival, US","Best of Fest Award"
"Shockfest Film Festival, US","Shocker Award of the Year"
"Boston International Film Festival","Best Story Line"
"Northeast Film Festival, US","Audience Choice Award"
"Cartagena Film Festival","Special Mention"
"Mar del Plata Film Festival","Roberto Tato Miller Award"
"San Diego Comic-Con International Independent Film Festival","CCI:IFF Award"
"Wild Rose Independent Film Festival","WRIFF Award"
"Cannes Film Festival","Best Actress"
"American Cinema Editors, USA","Career Achievement Award"
"Fantafestival","Lucio Fulci Award"
"Los Angeles Film Festival","Zeitgeist Award"
"FAMAS Awards","Presidential Award"
"FAMAS Awards","FAMAS Lifetime Achievement Award"
"FAMAS Awards","FAMAS Hall of Fame"
"FAMAS Awards","Dr. Ciriaco Santiago Memorial Award"
"FAP Awards, Philippines","Lifetime Achievement Award"
"Gawad Urian Awards","Lifetime Achievement Award"
"Maria Clara Awards","Maria Clara Award"
"Jogja-NETPAC Asian Film Festival","Silver Hanoman Award"
"Newport Beach Film Festival","Executive Directors Choice Award"
"Venice Film Festival","Special Jury Citation"
"Stony Brook Film Festival","Opening Night Film Award"
"Seville European Film Festival","Eurodoc Award"
"California International Shorts Festival, US","Best Animated Short"
"Catalina Film Festival","Award of Merit"
"Hungarian Film Week","Best Experimental Film"
"Hungarian Film Week","Best Visual Design"
"Karlovy Vary International Film Festival","Forum of Independents"
"Kecskemet Animation Festival","Festival Award"
"Krok International Animated Films Festival","Grand Prix"
"Long Beach Indie, California","Best Animated Short Film"
"Los Angeles Independent Film Festival Awards","LAIFF April Award"
"Tacoma Film Festival","Best Narrative Short"
"Fantasporto","RTP Jury Award - Special Mention"
"Poitiers Film Festival","Jury Prize"
"FAP Awards, Philippines","Manuel de Leon Award"
"Cairo International Film Festival","Best Arabic Film"
"Cairo International Film Festival","Best Arabic Screenplay"
"Cairo International Film Festival for Children","Ministry of Culture's Awards for Arabian Feature & Short Films"
"Cairo International Film Festival for Children","Bronze Cairo"
"Tribeca Film Festival","Women of Worth 'Vision' Award"
"Salerno International Film Festival","Festival Trophy"
"Torino International Festival of Young Cinema","Women-Men Equal Rights Award"
"Saints and Sinners Film Festival","Sinners Award"
"International Film Festival Manhattan","Film Festival Director Award"
"Jersey Shore Film Festival, US","Jury Award"
"New York City Independent Film Festival","Best Noir Short Film"
"Sacramento Horror Film Festival","Festival Award"
"Cannes Film Festival","Un Certain Regard Award - Special Mention"
"London Film Festival","Best British Newcomer"
"Rome Film Fest","Master of Cinema"
"Cabourg Romantic Film Festival","Special Mention"
"Fargo Film Festival","Best Director"
"Grand Prix de l'UCC","Press & Artistic Jury Award"
"US International Film & Video Festival","Creative Excellence"
"Woods Hole Film Festival","Jury Prize"
"ENFOQUE - International Film Festival of Puerto Rico","Jury Prize"
"Guadalajara International Film Festival","Ibero-America Competition"
"John Paul II International Film Festival","Festival Award"
"Miami Film Festival","Ibero-American Opera Prima Award"
"NALIPsters on View","1st Place"
"New York Latino Film Festival","Best Short Film"
"Puerto Rico International Film Festival","Festival Award"
"Puerto Rico Queer FilmFest","Audience Award"
"Raindance Film Festival","Discovery Award"
"Reel 2 Reel International Film Festival for Youth","Audience Award"
"Rincon International Film Festival, PR","Director's Choice"
"Tribeca Film Festival","Best Documentary Short"
"American Movie Awards","Best Actor"
"Broken Knuckle Film Festival","BKFF 2015"
"California Film Awards","Silver Award"
"Ekko Shortlist Awards","Shortlist Prisen"
"Ekko Shortlist Awards","Publikum Prisen"
"Fantasmagorical Film Festival","Best Horror Short"
"iChill International Film Festival","Jury Choice Award"
"Independent Horror Movie Awards","Jury Prize"
"IndieFEST Film Awards","Award of Merit Special Mention"
"International Independent Film Awards","Gold Award"
"Killuride Film Festival","Killuride Film Festival Award"
"Los Angeles Horror Competition","Platinum Award"
"Oregon International Film Awards, US","Gold Award"
"Salty Horror International Film Festival","Festival Prize"
"Shiver International Film Festival","Shiver's Maple Leaf Award"
"Swedish International Film Festival","Festival Prize"
"The IndieFest Film Awards","Award of Merit"
"The International Horror Hotel","Film Award"
"The Zone Sci-Fan Film Festival","Festival Award"
"Top Indie Film Awards","Top Indie Film Award"
"Zinema Zombie Fest","Best Short Film"
"Galactic Film Festival, US","Galactic Film Festival Award"
"Marfa Film Festival","Jury Prize"
"Munich International Documentary Festival (DOK.fest)","Audience Award"
"Tokyo International Film Festival","Best Actress Award"
"Bellaria Film Festival (BFF)","Italia Doc"
"Master of Art Film Festival","Best Documentary in Theatre and Cinema"
"Sole Luna Doc Film Festival","Premio Città di Treviso"
"Long Island Film Festival","Jury Prize"
"Zed Fest Film Festival","Festival Honor"
"Zed Fest Film Festival","Phil Tucker Spirit Award"
"Costume Designers Guild Awards","Hall of Fame"
"Moondance International Film Festival","Starfish Award"
"Cinefan - Festival of Asian and Arab Cinema","Cinefan Lifetime Achievement Award"
"Art Film Festival","International Film Critics' Award"
"Berlin International Film Festival","Don Quixote Award"
"Polish Film Festival","Golden Kangaroo"
"Skip City International D-Cinema Festival","Best Picture - Feature Length"
"Chicago Alt.Film Fest","Jury Award"
"Long Island Gay and Lesbian Film Festival","Jury Award"
"PlanetOut Short Movie Awards","First Prize"
"Belize International Film Festival","Audience Award"
"Giffoni Film Festival","Aluminium Gryphon CIAL Award"
"Los Angeles Pan African Film Festival","Jury Award"
"Tri Continental Film Festival","Audience Award"
"TheWIFTS Foundation International Visionary Awards","The Jury Award"
"Buenos Aires Rojo Sangre","International Competition"
"Asia-Pacific Film Festival","Best Supporting Actress"
"Marco Island Film Festival","Scarlett Award"
"Recife Cinema Festival","Special Jury Award"
"Tampere International Short Film Festival","Special Prize of the Jury"
"Houston Black Film Festival","Festival Prize"
"Pan African Film Festival","Programmers Award"
"San Diego Black Film Festival","Festival Prize"
"Tirana International Film Festival, AL","Audience Award"
"Hawaii International Film Festival","Hawaii Film and Videomakers Award"
"Black Maria Film and Video Festival","Festival Prize"
"Directors Guild of America, USA","Student Film Award"
"Premis de Cinematografia de la Generalitat de Catalunya","Special Award"
"Master of Art Film Festival","Most Beautiful Documentary"
"Santa Barbara International Film Festival","Courage Award"
"Biarritz International Short Film Festival","Best Integral Realisation"
"Bastia Italian Film Festival","Best Actor"
"Geneva Film Festival","Festival Award"
"Italian National Syndicate of Film Journalists","Persol Award"
"Primavera del Cinema Italiano Festival","Actor of the Year"
"Roseto First Work Festival","Golden Rose"
"Valencia Festival of Mediterranean Cinema","Best Actor"
